InfomationStyle=1
(Description:1--Origin Path;2--Effective Centre Line;3--Effective Contours Line;4--Tape Centre Line;5--TreeInfo)
MeshDATAFile=E:\huangwei\SoftwareCheck202111\NewModelTest20220513\20jqd_r18_202220612_DATA\Plies Group.1_STLMeshData.stl
Placement Parameter Output:
Width=6.35 mm	Gap=0.200 mm	TapNums=8 
NormalTag=0
Model Information Output:
ModelName=Plies Group.1\Sequence.2\Ply.2
PointNum=6739 	EdgeNum=19897 	FacetNum=13158 
AngelStart=45 deg
TotalNum=70
Output Start
tiaoshu=1	dianshu=199
x=2056.609750	y=600.731938	z=-279.107086	Nx=-0.111804	Ny=0.517127	Nz=-0.848575	FaceNum=9455
x=2059.901141	y=597.819168	z=-281.137978	Nx=-0.113096	Ny=0.453152	Nz=-0.884230	FaceNum=9454
x=2060.777104	y=597.042782	z=-281.675499	Nx=-0.113328	Ny=0.435722	Nz=-0.892918	FaceNum=9453
x=2060.831849	y=596.994012	z=-281.708509	Nx=-0.113339	Ny=0.434583	Nz=-0.893472	FaceNum=9452
x=2064.978251	y=593.176311	z=-283.848619	Nx=-0.113587	Ny=0.352511	Nz=-0.928889	FaceNum=8931
x=2065.311352	y=592.868653	z=-284.017221	Nx=-0.113552	Ny=0.345532	Nz=-0.931511	FaceNum=8932
x=2069.181939	y=589.211863	z=-285.637127	Nx=-0.112700	Ny=0.268175	Nz=-0.956755	FaceNum=9402
x=2069.808441	y=588.618906	z=-285.893733	Nx=-0.112466	Ny=0.255004	Nz=-0.960377	FaceNum=9401
x=2073.374661	y=585.197699	z=-287.040671	Nx=-0.110714	Ny=0.183483	Nz=-0.976768	FaceNum=8870
x=2074.304710	y=584.304768	z=-287.332627	Nx=-0.110122	Ny=0.163945	Nz=-0.980304	FaceNum=8871
x=2077.295945	y=581.417924	z=-287.998521	Nx=-0.108136	Ny=0.120503	Nz=-0.986806	FaceNum=9356
x=2078.780694	y=579.985045	z=-288.330529	Nx=-0.106983	Ny=0.097700	Nz=-0.989449	FaceNum=9355
x=2095.866849	y=563.501758	z=-291.390354	Nx=-0.103739	Ny=0.084920	Nz=-0.990973	FaceNum=5517
x=2099.936463	y=559.577195	z=-292.069711	Nx=-0.101958	Ny=0.078655	Nz=-0.991674	FaceNum=5516
x=2122.381537	y=537.491031	z=-295.846164	Nx=-0.099048	Ny=0.065825	Nz=-0.992903	FaceNum=5516
x=2132.281756	y=527.749054	z=-297.511874	Nx=-0.097459	Ny=0.064804	Nz=-0.993127	FaceNum=5411
x=2139.202868	y=520.941279	z=-298.583237	Nx=-0.096114	Ny=0.063919	Nz=-0.993316	FaceNum=5405
x=2149.003810	y=511.299476	z=-300.142403	Nx=-0.094568	Ny=0.062467	Nz=-0.993557	FaceNum=5404
x=2163.189742	y=497.186981	z=-302.409022	Nx=-0.091436	Ny=0.060843	Nz=-0.993951	FaceNum=5404
x=2191.169755	y=469.361683	z=-306.548036	Nx=-0.085893	Ny=0.057327	Nz=-0.994654	FaceNum=5398
x=2193.775579	y=466.769990	z=-306.944735	Nx=-0.085373	Ny=0.056998	Nz=-0.994717	FaceNum=5397
x=2197.611812	y=462.956017	z=-307.478676	Nx=-0.084624	Ny=0.056539	Nz=-0.994808	FaceNum=5391
x=2198.171122	y=462.399999	z=-307.554832	Nx=-0.083976	Ny=0.056182	Nz=-0.994883	FaceNum=5392
x=2234.029808	y=426.618657	z=-312.445817	Nx=-0.077208	Ny=0.051611	Nz=-0.995678	FaceNum=5392
x=2247.334226	y=413.347828	z=-314.066135	Nx=-0.073624	Ny=0.049474	Nz=-0.996058	FaceNum=5386
x=2272.371881	y=388.482765	z=-317.109927	Nx=-0.068761	Ny=0.046102	Nz=-0.996567	FaceNum=5386
x=2273.780754	y=387.083509	z=-317.286280	Nx=-0.068450	Ny=0.045901	Nz=-0.996598	FaceNum=5385
x=2275.150804	y=385.723357	z=-317.436901	Nx=-0.068146	Ny=0.045707	Nz=-0.996628	FaceNum=5379
x=2299.493042	y=361.558323	z=-320.044399	Nx=-0.063336	Ny=0.042630	Nz=-0.997081	FaceNum=5380
x=2312.994304	y=348.275102	z=-321.485633	Nx=-0.059819	Ny=0.040643	Nz=-0.997382	FaceNum=5380
x=2330.502602	y=331.054226	z=-323.100642	Nx=-0.055300	Ny=0.037833	Nz=-0.997753	FaceNum=5374
x=2338.582466	y=323.106273	z=-323.887246	Nx=-0.053219	Ny=0.036579	Nz=-0.997913	FaceNum=5373
x=2352.289292	y=309.626354	z=-325.037969	Nx=-0.050115	Ny=0.034565	Nz=-0.998145	FaceNum=5367
x=2356.458968	y=305.536705	z=-325.387635	Nx=-0.048696	Ny=0.033818	Nz=-0.998241	FaceNum=5367
x=2362.944052	y=299.176042	z=-325.930547	Nx=-0.047019	Ny=0.030897	Nz=-0.998416	FaceNum=5368
x=2365.652919	y=296.519566	z=-326.123419	Nx=-0.046409	Ny=0.031809	Nz=-0.998416	FaceNum=5510
x=2385.490304	y=277.064982	z=-327.610132	Nx=-0.041296	Ny=0.027415	Nz=-0.998771	FaceNum=5361
